claim_id,treaty_id,loss_date,reported_date,paid_date,claim_amount,reserve_amount,recovery_amount,cause_of_loss,catastrophe_code,latitude,longitude,status,adjuster,claim_type,development_year,ultimate_loss
CLM9311877,TR750820,2024-03-15,2024-03-20,2024-06-15,1155533.9695373902,1386640.7634448681,0.0,Theft,Not Applicable,40.74877105800718,-106.05649858124286,Open,Internal,Auto Physical Damage,1,1155533.9695373902
CLM2034536,TR750820,2024-03-15,2024-03-20,2024-06-15,3630234.696579354,4356281.635895224,0.0,Wind,Not Applicable,38.83601946970184,-114.56226995898841,Pending,Internal,Auto Physical Damage,1,3630234.696579354
CLM3023334,TR750820,2024-03-15,2024-03-20,2024-06-15,2764709.042838526,3317650.851406231,0.0,Liability,Not Applicable,34.5224296468682,-82.45749178828815,Closed,External,Auto Physical Damage,1,2764709.042838526
CLM9399381,TR750820,2024-03-15,2024-03-20,2024-06-15,410151.22576058476,492181.4709127017,0.0,Liability,Not Applicable,26.974839133989438,-68.17416500438858,Closed,TPA,Property,1,410151.22576058476
CLM4921064,TR750820,2024-03-15,2024-03-20,2024-06-15,1847918.1349176136,2217501.761901136,0.0,Liability,Not Applicable,44.80977046232389,-109.45941660334796,Closed,TPA,Auto Physical Damage,1,1847918.1349176136
CLM3094051,TR750820,2024-03-15,2024-03-20,2024-06-15,4829547.217396132,5795456.660875358,0.0,Earthquake,Not Applicable,42.93652453911245,-99.21808666331547,Open,Internal,Auto Physical Damage,1,4829547.217396132
CLM7421798,TR750820,2024-03-15,2024-03-20,2024-06-15,1040082.8353582905,1248099.4024299486,0.0,Liability,Not Applicable,25.838255378396042,-105.73105919968089,Closed,Internal,Auto Physical Damage,1,1040082.8353582905
CLM5760498,TR750820,2024-03-15,2024-03-20,2024-06-15,1327162.8969489469,1592595.4763387362,0.0,Collision,Not Applicable,42.2522621096632,-70.42277022162651,Closed,TPA,Liability,1,1327162.8969489469
CLM7130836,TR750820,2024-03-15,2024-03-20,2024-06-15,4287131.261898202,5144557.514277842,0.0,Fire,Not Applicable,26.501869669013566,-98.26451876841521,Open,TPA,Auto Physical Damage,1,4287131.261898202
CLM1317370,TR506788,2024-03-15,2024-03-20,2024-06-15,3657658.4162428463,4389190.099491416,0.0,Theft,Not Applicable,34.66184274774926,-112.50016417663367,Open,Internal,Liability,1,3657658.4162428463
CLM2237495,TR506788,2024-03-15,2024-03-20,2024-06-15,4168338.0739937406,5002005.688792489,0.0,Flood,Not Applicable,47.113578915295335,-72.20858611441818,Closed,External,Property,1,4168338.0739937406
CLM2640312,TR506788,2024-03-15,2024-03-20,2024-06-15,4203069.97573054,5043683.970876648,0.0,Earthquake,Not Applicable,27.669791099997983,-117.69780978171619,Open,Internal,Property,1,4203069.97573054
CLM1455981,TR506788,2024-03-15,2024-03-20,2024-06-15,2818867.499834238,3382640.999801086,0.0,Liability,Not Applicable,39.306196573980344,-110.07272736622662,Open,Internal,Property,1,2818867.499834238
CLM8664382,TR506788,2024-03-15,2024-03-20,2024-06-15,1523264.7871712032,1827917.7446054437,0.0,Wind,Not Applicable,39.13005345773046,-78.12409965507982,Open,TPA,Auto Physical Damage,1,1523264.7871712032
CLM5934210,TR506788,2024-03-15,2024-03-20,2024-06-15,4382377.704278764,5258853.245134517,0.0,Fire,Not Applicable,35.617090531989405,-101.71990035018334,Open,TPA,Property,1,4382377.704278764
CLM8984368,TR506788,2024-03-15,2024-03-20,2024-06-15,4894265.8152680155,5873118.978321618,0.0,Wind,Not Applicable,34.33402604156992,-113.13929569810344,Open,Internal,Property,1,4894265.8152680155
CLM1898634,TR506788,2024-03-15,2024-03-20,2024-06-15,2523170.963857667,3027805.1566292006,0.0,Earthquake,Not Applicable,35.830695475233746,-116.6997611406636,Open,Internal,Auto Physical Damage,1,2523170.963857667
CLM5015001,TR506788,2024-03-15,2024-03-20,2024-06-15,957066.4263287451,1148479.711594494,0.0,Wind,Not Applicable,33.85692460179251,-74.66506301950898,Closed,Internal,Auto Physical Damage,1,957066.4263287451
CLM5957877,TR506788,2024-03-15,2024-03-20,2024-06-15,1534631.8849140552,1841558.2618968661,0.0,Earthquake,Not Applicable,40.807723057523994,-98.71541036888709,Open,TPA,Liability,1,1534631.8849140552
CLM2725570,TR506788,2024-03-15,2024-03-20,2024-06-15,2844810.3887998797,3413772.4665598557,0.0,Wind,Not Applicable,47.9550044073884,-108.66748268705332,Pending,External,Property,1,2844810.3887998797
CLM3556136,TR506788,2024-03-15,2024-03-20,2024-06-15,3338298.6304532224,4005958.356543867,0.0,Collision,Not Applicable,27.382785015641176,-108.67170277372504,Open,External,Property,1,3338298.6304532224
CLM7995628,TR506788,2024-03-15,2024-03-20,2024-06-15,2967769.5585529003,3561323.47026348,0.0,Fire,Not Applicable,38.518985759096495,-93.76982679593866,Open,Internal,Liability,1,2967769.5585529003
CLM6012613,TR506788,2024-03-15,2024-03-20,2024-06-15,3454302.782104889,4145163.3385258666,0.0,Earthquake,Not Applicable,39.237440603270414,-112.88597500731272,Closed,External,Auto Physical Damage,1,3454302.782104889
CLM9489683,TR114043,2024-03-15,2024-03-20,2024-06-15,294279.62667383376,353135.5520086005,0.0,Theft,Not Applicable,39.67047012851381,-67.05330805118305,Pending,TPA,Auto Physical Damage,1,294279.62667383376
CLM8208686,TR114043,2024-03-15,2024-03-20,2024-06-15,4969878.3296876475,5963853.9956251765,0.0,Flood,Not Applicable,46.27382324883915,-124.6477393533419,Closed,External,Auto Physical Damage,1,4969878.3296876475
CLM3396723,TR114043,2024-03-15,2024-03-20,2024-06-15,3088348.7727278145,3706018.5272733774,0.0,Fire,Not Applicable,37.909076415787894,-81.22347095732603,Closed,Internal,Property,1,3088348.7727278145
CLM9949893,TR114043,2024-03-15,2024-03-20,2024-06-15,4836054.996649121,5803265.995978945,0.0,Liability,Not Applicable,37.68254461795793,-99.89379785972224,Pending,TPA,Property,1,4836054.996649121
CLM1141814,TR114043,2024-03-15,2024-03-20,2024-06-15,596252.72642836,715503.2717140319,0.0,Theft,Not Applicable,37.88377551043483,-81.88873708971828,Closed,TPA,Auto Physical Damage,1,596252.72642836
CLM5835967,TR114043,2024-03-15,2024-03-20,2024-06-15,4738860.962645397,5686633.155174476,0.0,Theft,Not Applicable,39.85200672551605,-80.13288046867049,Pending,Internal,Auto Physical Damage,1,4738860.962645397
CLM9136536,TR114043,2024-03-15,2024-03-20,2024-06-15,293812.7355402315,352575.2826482778,0.0,Fire,Not Applicable,29.499286920045932,-108.86041740905688,Closed,TPA,Liability,1,293812.7355402315
CLM3491225,TR114043,2024-03-15,2024-03-20,2024-06-15,282857.87186813727,339429.4462417647,0.0,Theft,Not Applicable,32.197071109048224,-103.00502808087106,Open,TPA,Liability,1,282857.87186813727
CLM6271843,TR114043,2024-03-15,2024-03-20,2024-06-15,4969490.350893216,5963388.421071859,0.0,Theft,Not Applicable,27.24110236107639,-87.8315198369553,Open,Internal,Auto Physical Damage,1,4969490.350893216
CLM5336823,TR114043,2024-03-15,2024-03-20,2024-06-15,279328.8703320736,335194.6443984883,0.0,Collision,Not Applicable,45.757162333299206,-83.90988684729828,Closed,TPA,Liability,1,279328.8703320736
CLM7916805,TR114043,2024-03-15,2024-03-20,2024-06-15,1120718.8350347911,1344862.6020417493,0.0,Wind,Not Applicable,33.39666098432005,-96.40312196166138,Closed,External,Auto Physical Damage,1,1120718.8350347911
CLM3813767,TR483221,2024-03-15,2024-03-20,2024-06-15,164830.20123759017,197796.24148510818,0.0,Flood,Not Applicable,37.559033364614876,-104.88931208575235,Closed,External,Auto Physical Damage,1,164830.20123759017
CLM4991392,TR483221,2024-03-15,2024-03-20,2024-06-15,661350.1828351662,793620.2194021995,0.0,Theft,Not Applicable,37.48417068546573,-81.41793268242373,Pending,External,Auto Physical Damage,1,661350.1828351662
CLM8977088,TR483221,2024-03-15,2024-03-20,2024-06-15,393477.44947397837,472172.939368774,0.0,Theft,Not Applicable,27.04499399539155,-91.94089893934586,Open,External,Auto Physical Damage,1,393477.44947397837
CLM6409941,TR483221,2024-03-15,2024-03-20,2024-06-15,197363.3028910459,236835.96346925508,0.0,Liability,Not Applicable,47.170065520898845,-86.33480376118796,Pending,External,Auto Physical Damage,1,197363.3028910459
CLM1171368,TR483221,2024-03-15,2024-03-20,2024-06-15,3825063.405407575,4590076.08648909,0.0,Earthquake,Not Applicable,48.68644632532752,-91.6902123928335,Open,Internal,Liability,1,3825063.405407575
CLM3251436,TR483221,2024-03-15,2024-03-20,2024-06-15,3981899.339493892,4778279.20739267,0.0,Fire,Not Applicable,33.188374614258144,-93.41786514966755,Closed,External,Property,1,3981899.339493892
CLM9218814,TR483221,2024-03-15,2024-03-20,2024-06-15,4227465.829287493,5072958.995144991,0.0,Earthquake,Not Applicable,37.96410211580009,-101.1896151269913,Pending,TPA,Property,1,4227465.829287493
CLM2784262,TR483221,2024-03-15,2024-03-20,2024-06-15,4551007.205072925,5461208.6460875105,0.0,Collision,Not Applicable,35.652257971983744,-73.56676583873781,Closed,TPA,Liability,1,4551007.205072925
CLM9287051,TR729292,2024-03-15,2024-03-20,2024-06-15,3931794.9534777217,4718153.944173266,0.0,Theft,Not Applicable,34.483196480811515,-104.60543804432272,Open,External,Property,1,3931794.9534777217
CLM2497782,TR729292,2024-03-15,2024-03-20,2024-06-15,1884726.75598096,2261672.107177152,0.0,Theft,Not Applicable,25.718020694744283,-84.8822380721485,Open,External,Property,1,1884726.75598096
CLM8485552,TR729292,2024-03-15,2024-03-20,2024-06-15,1791686.608670623,2150023.9304047474,0.0,Collision,Not Applicable,44.926920286449274,-106.81166367310149,Closed,External,Auto Physical Damage,1,1791686.608670623
CLM6866652,TR729292,2024-03-15,2024-03-20,2024-06-15,2548245.7361306557,3057894.883356787,0.0,Wind,Not Applicable,47.77289420324202,-71.77611940276226,Closed,External,Property,1,2548245.7361306557
CLM9618333,TR729292,2024-03-15,2024-03-20,2024-06-15,2880278.4507712047,3456334.1409254456,0.0,Collision,Not Applicable,33.467059110419946,-73.42516945608176,Closed,External,Property,1,2880278.4507712047
CLM2077940,TR729292,2024-03-15,2024-03-20,2024-06-15,2099377.1002966478,2519252.520355977,0.0,Flood,Not Applicable,47.37306853568192,-69.9694293137396,Closed,TPA,Property,1,2099377.1002966478
CLM6041269,TR729292,2024-03-15,2024-03-20,2024-06-15,1753491.3156990912,2104189.5788389095,0.0,Liability,Not Applicable,34.67031609421022,-120.93514273338903,Open,TPA,Property,1,1753491.3156990912
CLM5871302,TR729292,2024-03-15,2024-03-20,2024-06-15,2648083.9427298578,3177700.731275829,0.0,Earthquake,Not Applicable,31.392534470346277,-123.0311141915081,Closed,External,Liability,1,2648083.9427298578
CLM1423284,TR729292,2024-03-15,2024-03-20,2024-06-15,1095830.9838037447,1314997.1805644936,0.0,Earthquake,Not Applicable,31.57874047337876,-100.89053610875527,Closed,Internal,Auto Physical Damage,1,1095830.9838037447
CLM4643547,TR729292,2024-03-15,2024-03-20,2024-06-15,1235049.1129349938,1482058.9355219926,0.0,Collision,Not Applicable,32.43461634815412,-87.44749981171296,Closed,TPA,Auto Physical Damage,1,1235049.1129349938
CLM3523796,TR729292,2024-03-15,2024-03-20,2024-06-15,290145.4429722911,348174.53156674927,0.0,Theft,Not Applicable,28.059924798903417,-89.54330064900181,Open,Internal,Property,1,290145.4429722911
CLM9070850,TR729292,2024-03-15,2024-03-20,2024-06-15,3038904.5785363563,3646685.4942436274,0.0,Collision,Not Applicable,45.95476710837057,-80.39784199683857,Closed,TPA,Auto Physical Damage,1,3038904.5785363563
CLM2157707,TR729292,2024-03-15,2024-03-20,2024-06-15,4063535.3896806464,4876242.467616775,0.0,Collision,Not Applicable,41.195103308175405,-72.61303390454712,Open,Internal,Auto Physical Damage,1,4063535.3896806464
CLM5311659,TR729292,2024-03-15,2024-03-20,2024-06-15,2953873.514980833,3544648.2179769995,0.0,Fire,Not Applicable,44.721448246638246,-83.51079485703663,Open,Internal,Property,1,2953873.514980833
CLM1481656,TR612132,2024-03-15,2024-03-20,2024-06-15,2745593.2124173325,3294711.8549007988,0.0,Theft,Not Applicable,33.711908649008095,-99.5022263543182,Open,External,Auto Physical Damage,1,2745593.2124173325
CLM7793783,TR612132,2024-03-15,2024-03-20,2024-06-15,897261.2764440149,1076713.5317328179,0.0,Fire,Not Applicable,48.51645184326485,-96.13735804646655,Open,Internal,Liability,1,897261.2764440149
CLM7927832,TR612132,2024-03-15,2024-03-20,2024-06-15,4465271.745609164,5358326.0947309965,0.0,Theft,Not Applicable,45.9612703575166,-120.36066854973488,Pending,TPA,Property,1,4465271.745609164
CLM7404683,TR612132,2024-03-15,2024-03-20,2024-06-15,3974611.8478917,4769534.21747004,0.0,Collision,Not Applicable,47.0432886354687,-90.7231858703338,Open,TPA,Property,1,3974611.8478917
CLM6741432,TR612132,2024-03-15,2024-03-20,2024-06-15,1427086.6363328598,1712503.9635994316,0.0,Flood,Not Applicable,28.70466158912362,-103.99087813695391,Open,TPA,Liability,1,1427086.6363328598
CLM7605753,TR612132,2024-03-15,2024-03-20,2024-06-15,626720.0794670855,752064.0953605026,0.0,Wind,Not Applicable,25.891562514306543,-91.70134180073663,Open,External,Liability,1,626720.0794670855
CLM3184062,TR612132,2024-03-15,2024-03-20,2024-06-15,2491409.327720873,2989691.1932650474,0.0,Flood,Not Applicable,37.69289209294814,-92.86679630263664,Closed,External,Property,1,2491409.327720873
CLM5148375,TR612132,2024-03-15,2024-03-20,2024-06-15,4406477.209842458,5287772.65181095,0.0,Fire,Not Applicable,34.44098185011618,-119.95644699801586,Open,TPA,Property,1,4406477.209842458
CLM6656449,TR612132,2024-03-15,2024-03-20,2024-06-15,1830207.3610750728,2196248.833290087,0.0,Flood,Not Applicable,28.101741442316595,-75.35430832096691,Pending,Internal,Liability,1,1830207.3610750728
CLM6198298,TR612132,2024-03-15,2024-03-20,2024-06-15,2546762.221371986,3056114.665646383,0.0,Theft,Not Applicable,43.378377003263125,-82.36907079310359,Closed,TPA,Liability,1,2546762.221371986
CLM7356654,TR612132,2024-03-15,2024-03-20,2024-06-15,2523979.169537597,3028775.0034451163,0.0,Fire,Not Applicable,47.858808186944,-106.94978599937906,Open,External,Liability,1,2523979.169537597
CLM5507496,TR612132,2024-03-15,2024-03-20,2024-06-15,1275829.693207355,1530995.6318488258,0.0,Theft,Not Applicable,42.55249119589003,-90.01194040458273,Open,TPA,Property,1,1275829.693207355
CLM4612735,TR612132,2024-03-15,2024-03-20,2024-06-15,4284888.3496485455,5141866.019578255,0.0,Earthquake,Not Applicable,45.535149492082994,-112.38760410905142,Pending,Internal,Auto Physical Damage,1,4284888.3496485455
CLM4872346,TR612132,2024-03-15,2024-03-20,2024-06-15,4122213.8820770523,4946656.658492463,0.0,Liability,Not Applicable,33.895601206928916,-72.20328045498866,Open,External,Liability,1,4122213.8820770523
CLM6503418,TR612132,2024-03-15,2024-03-20,2024-06-15,2498952.5320959156,2998743.038515099,0.0,Earthquake,Not Applicable,37.79570412687099,-112.99572978990409,Open,External,Property,1,2498952.5320959156
CLM3110081,TR123441,2024-03-15,2024-03-20,2024-06-15,1573189.5747791477,1887827.4897349773,0.0,Wind,Not Applicable,48.688672747625134,-122.97876243253076,Closed,External,Liability,1,1573189.5747791477
CLM4549253,TR123441,2024-03-15,2024-03-20,2024-06-15,3809149.723236922,4570979.667884306,0.0,Wind,Not Applicable,32.920233246339926,-89.83689391411338,Open,External,Auto Physical Damage,1,3809149.723236922
CLM3377734,TR123441,2024-03-15,2024-03-20,2024-06-15,2785765.347547928,3342918.4170575133,0.0,Earthquake,Not Applicable,48.2148569152568,-75.96119123276172,Pending,Internal,Property,1,2785765.347547928
CLM7722894,TR123441,2024-03-15,2024-03-20,2024-06-15,2914518.4974851105,3497422.1969821327,0.0,Earthquake,Not Applicable,37.33230490318191,-91.00580733590351,Closed,TPA,Property,1,2914518.4974851105
CLM6656590,TR123441,2024-03-15,2024-03-20,2024-06-15,2177203.896258635,2612644.675510362,0.0,Liability,Not Applicable,27.079252026326568,-70.46886631420969,Closed,External,Liability,1,2177203.896258635
CLM6206189,TR123441,2024-03-15,2024-03-20,2024-06-15,3216655.8272676864,3859986.9927212233,0.0,Earthquake,Not Applicable,45.35989619949764,-92.57327211352421,Open,TPA,Auto Physical Damage,1,3216655.8272676864
CLM7904773,TR123441,2024-03-15,2024-03-20,2024-06-15,2225878.0193372057,2671053.6232046466,0.0,Wind,Not Applicable,45.38562221121423,-75.48055045889994,Closed,External,Auto Physical Damage,1,2225878.0193372057
CLM3134677,TR123441,2024-03-15,2024-03-20,2024-06-15,3627898.5005589365,4353478.200670724,0.0,Theft,Not Applicable,46.17108536981679,-106.80674625721794,Open,External,Liability,1,3627898.5005589365
CLM3220949,TR123441,2024-03-15,2024-03-20,2024-06-15,3439473.901146186,4127368.681375423,0.0,Fire,Not Applicable,39.1989080587573,-80.16310327679466,Closed,External,Auto Physical Damage,1,3439473.901146186
CLM6260170,TR123441,2024-03-15,2024-03-20,2024-06-15,941282.7978401254,1129539.3574081503,0.0,Theft,Not Applicable,33.90738714620156,-82.46500687170477,Closed,External,Liability,1,941282.7978401254
CLM2362925,TR123441,2024-03-15,2024-03-20,2024-06-15,1496456.2338995398,1795747.4806794478,0.0,Flood,Not Applicable,31.29674821976639,-104.97163987678042,Open,External,Liability,1,1496456.2338995398
CLM7489926,TR123441,2024-03-15,2024-03-20,2024-06-15,1064515.9815481289,1277419.1778577545,0.0,Collision,Not Applicable,37.84468782278793,-111.68792817132571,Pending,External,Liability,1,1064515.9815481289
CLM7769891,TR123441,2024-03-15,2024-03-20,2024-06-15,3050268.1940761665,3660321.8328913995,0.0,Earthquake,Not Applicable,29.414525466499665,-101.76611891869604,Pending,External,Auto Physical Damage,1,3050268.1940761665
CLM7632436,TR123441,2024-03-15,2024-03-20,2024-06-15,756653.6466834535,907984.3760201441,0.0,Liability,Not Applicable,25.91466085432576,-114.3536003768942,Closed,External,Liability,1,756653.6466834535
CLM5086977,TR212054,2024-03-15,2024-03-20,2024-06-15,2415897.779821067,2899077.3357852804,0.0,Flood,Not Applicable,25.770221263516444,-69.93460391513395,Open,Internal,Auto Physical Damage,1,2415897.779821067
CLM2238355,TR212054,2024-03-15,2024-03-20,2024-06-15,1795583.8024403588,2154700.5629284303,0.0,Fire,Not Applicable,38.62177825055268,-112.07175087113588,Open,External,Liability,1,1795583.8024403588
CLM3119638,TR212054,2024-03-15,2024-03-20,2024-06-15,44259.027056931205,53110.83246831744,0.0,Liability,Not Applicable,43.02692517570647,-117.65485592582756,Open,External,Property,1,44259.027056931205
CLM7424972,TR212054,2024-03-15,2024-03-20,2024-06-15,1494379.5847598836,1793255.5017118603,0.0,Earthquake,Not Applicable,38.99612008917072,-108.91803419656527,Closed,TPA,Liability,1,1494379.5847598836
CLM6618669,TR212054,2024-03-15,2024-03-20,2024-06-15,4680145.3455934245,5616174.41471211,0.0,Fire,Not Applicable,42.07115453945194,-102.9414581865332,Open,Internal,Property,1,4680145.3455934245
CLM2629099,TR212054,2024-03-15,2024-03-20,2024-06-15,4660633.204391263,5592759.845269516,0.0,Wind,Not Applicable,36.523766168364276,-124.98273163033674,Pending,TPA,Property,1,4660633.204391263
CLM2987841,TR212054,2024-03-15,2024-03-20,2024-06-15,4172444.247423239,5006933.096907887,0.0,Earthquake,Not Applicable,28.605031297139185,-71.27444891745087,Pending,TPA,Auto Physical Damage,1,4172444.247423239
CLM8615988,TR777847,2024-03-15,2024-03-20,2024-06-15,1716245.4341787295,2059494.5210144753,0.0,Collision,Not Applicable,26.97492880219427,-101.03460099283708,Open,External,Property,1,1716245.4341787295
CLM1749488,TR777847,2024-03-15,2024-03-20,2024-06-15,1967493.9868167478,2360992.7841800973,0.0,Collision,Not Applicable,44.34517054641801,-104.1109300353403,Closed,Internal,Auto Physical Damage,1,1967493.9868167478
CLM2914593,TR777847,2024-03-15,2024-03-20,2024-06-15,3001703.5656111958,3602044.2787334346,0.0,Fire,Not Applicable,34.58582304467822,-67.6075521762827,Closed,TPA,Property,1,3001703.5656111958
CLM7868883,TR777847,2024-03-15,2024-03-20,2024-06-15,4000172.090799651,4800206.508959581,0.0,Liability,Not Applicable,47.65932528100201,-106.69398356438366,Open,Internal,Liability,1,4000172.090799651
CLM2307781,TR777847,2024-03-15,2024-03-20,2024-06-15,1218044.6839909572,1461653.6207891486,0.0,Theft,Not Applicable,26.216464072297505,-85.43985043635654,Pending,External,Auto Physical Damage,1,1218044.6839909572
CLM8959521,TR777847,2024-03-15,2024-03-20,2024-06-15,2754406.4982662564,3305287.7979195076,0.0,Wind,Not Applicable,40.063931078092224,-85.35607467047706,Open,Internal,Auto Physical Damage,1,2754406.4982662564
CLM5188666,TR777847,2024-03-15,2024-03-20,2024-06-15,2587849.4370491095,3105419.324458931,0.0,Wind,Not Applicable,32.26047738601851,-76.5780724853973,Pending,External,Property,1,2587849.4370491095
CLM9227548,TR777847,2024-03-15,2024-03-20,2024-06-15,1480619.4787208892,1776743.374465067,0.0,Collision,Not Applicable,39.40605678673471,-107.31668713357696,Open,TPA,Auto Physical Damage,1,1480619.4787208892
CLM8643540,TR777847,2024-03-15,2024-03-20,2024-06-15,754337.5093195193,905205.0111834231,0.0,Fire,Not Applicable,43.71297126980789,-96.1377132692003,Open,External,Liability,1,754337.5093195193
CLM2962160,TR777847,2024-03-15,2024-03-20,2024-06-15,565418.9721003657,678502.7665204388,0.0,Wind,Not Applicable,39.16131603814773,-92.00048527023708,Closed,TPA,Auto Physical Damage,1,565418.9721003657
CLM8127035,TR777847,2024-03-15,2024-03-20,2024-06-15,2094236.6382605424,2513083.965912651,0.0,Theft,Not Applicable,26.164299829464,-102.58712336258951,Closed,Internal,Auto Physical Damage,1,2094236.6382605424
CLM8621818,TR777847,2024-03-15,2024-03-20,2024-06-15,3158822.5976845124,3790587.1172214146,0.0,Theft,Not Applicable,36.39891229816132,-119.41968633270474,Open,External,Liability,1,3158822.5976845124
CLM5274401,TR777847,2024-03-15,2024-03-20,2024-06-15,2937035.982928838,3524443.1795146056,0.0,Fire,Not Applicable,27.119073132988884,-121.0654683260702,Open,TPA,Property,1,2937035.982928838
CLM1048767,TR777847,2024-03-15,2024-03-20,2024-06-15,4915447.837689671,5898537.405227604,0.0,Liability,Not Applicable,40.734469988035485,-95.43424939238193,Closed,External,Property,1,4915447.837689671
CLM1949584,TR485783,2024-03-15,2024-03-20,2024-06-15,918283.5458055703,1101940.2549666844,0.0,Flood,Not Applicable,32.439356960003444,-107.38238140544763,Closed,Internal,Auto Physical Damage,1,918283.5458055703
CLM5124360,TR485783,2024-03-15,2024-03-20,2024-06-15,1736256.5597188203,2083507.8716625841,0.0,Collision,Not Applicable,48.42708989645308,-74.62965775392031,Open,TPA,Property,1,1736256.5597188203
CLM4206307,TR485783,2024-03-15,2024-03-20,2024-06-15,436488.54812990804,523786.2577558896,0.0,Earthquake,Not Applicable,37.788908387925964,-84.84043390524965,Open,Internal,Auto Physical Damage,1,436488.54812990804
CLM5836711,TR485783,2024-03-15,2024-03-20,2024-06-15,3845143.362893633,4614172.0354723595,0.0,Fire,Not Applicable,33.38955582489165,-87.89256002073066,Open,TPA,Property,1,3845143.362893633
CLM3536335,TR485783,2024-03-15,2024-03-20,2024-06-15,44677.88584214433,53613.46301057319,0.0,Liability,Not Applicable,31.48119131267194,-71.81347552251465,Closed,TPA,Auto Physical Damage,1,44677.88584214433
CLM9625645,TR485783,2024-03-15,2024-03-20,2024-06-15,2088653.906732074,2506384.6880784887,0.0,Collision,Not Applicable,43.52114850398097,-99.93749287456305,Pending,TPA,Auto Physical Damage,1,2088653.906732074
CLM6014022,TR485783,2024-03-15,2024-03-20,2024-06-15,925439.4116847003,1110527.2940216402,0.0,Liability,Not Applicable,33.2461199033627,-77.56399985087498,Open,External,Liability,1,925439.4116847003
CLM5780655,TR485783,2024-03-15,2024-03-20,2024-06-15,3550112.878857437,4260135.454628924,0.0,Theft,Not Applicable,41.571342062525716,-66.34590951862651,Closed,Internal,Auto Physical Damage,1,3550112.878857437
CLM6565012,TR485783,2024-03-15,2024-03-20,2024-06-15,1879837.5446547712,2255805.0535857254,0.0,Liability,Not Applicable,31.726956910706672,-97.12677298306224,Open,TPA,Auto Physical Damage,1,1879837.5446547712
CLM6950587,TR485783,2024-03-15,2024-03-20,2024-06-15,4670295.550203178,5604354.660243814,0.0,Flood,Not Applicable,34.974186617660976,-95.02725928955084,Closed,External,Auto Physical Damage,1,4670295.550203178
CLM9990474,TR485783,2024-03-15,2024-03-20,2024-06-15,4620355.364979008,5544426.43797481,0.0,Flood,Not Applicable,26.485697036982835,-88.5195999912793,Open,Internal,Liability,1,4620355.364979008
CLM1183175,TR597401,2024-03-15,2024-03-20,2024-06-15,931156.9559114048,1117388.3470936858,0.0,Liability,Not Applicable,25.492724179101764,-123.67941652017217,Closed,External,Liability,1,931156.9559114048
