claim_id,treaty_id,occurrence_date,report_date,claim_status,claim_type,cause_of_loss,territory,currency,gross_claim_amount,reinsurance_recovery,net_claim_amount,case_reserves,paid_to_date,outstanding_reserves,expense_reserves,salvage_subrogation
54af173f-207,989ebe2e,2022-01-17,2022-01-18,Open,Attritional,Collision,France,GBP,198648,165158.3401880637,33489.65981193629,167507.84016879371,4590.871081398567,32258.73653690348,23387.768383826,19033.911796392484
99b7b991-f5b,989ebe2e,2021-10-02,2021-10-13,Closed,Attritional,Other,France,GBP,233148,193842.05578796,39305.94421203999,250924.547938377,131616.2790446331,28066.417112423707,29667.637336460797,19824.41681070747
7fc2b38a-a54,989ebe2e,2022-01-14,2022-02-13,Open,Catastrophe,Fire,France,GBP,3654,3037.979617449885,616.0203825501148,3430.673023374829,1408.7639343237806,636.2131963401554,367.57807254800423,124.68587129431288
781330fa-53c,989ebe2e,2021-10-14,2021-12-18,Reopened,Attritional,Medical,France,GBP,2763,2297.1914841308244,465.8085158691756,3272.262419285552,1580.5094833424655,734.2436600599584,333.57937825598907,120.32509816562117
2e0170e7-3ae,989ebe2e,2021-12-05,2022-01-11,IBNR,Catastrophe,Disability,France,GBP,18927,15736.135801717017,3190.864198282983,21006.255492473116,7918.7992881536975,5018.435748861928,2067.726711501868,610.0258842083625
b4aac7a5-483,989ebe2e,2021-07-16,2021-08-27,Open,Large,Death,France,GBP,438391,364483.558421859,73907.441578141,393475.81478814495,183351.60844439163,97351.88522986442,38534.100002609375,1258.1820722427342
155daea7-219,989ebe2e,2021-08-26,2021-09-15,Closed,Large,Theft,France,GBP,43319,36015.93843686688,7303.061563133117,40803.46508391291,10072.411199414168,6754.805208660036,4748.4338788841505,3812.5370089111316
b6b0efb6-1bf,612381dd,2024-02-01,2024-02-01,Open,Catastrophe,Theft,Netherlands,JPY,1290,734.6878018237027,555.3121981762973,1076.176288370339,836.0066850249696,255.05308448698716,162.30324029923815,89.08860478860147
3cd8af41-c21,612381dd,2024-03-18,2024-04-08,Reopened,Large,Fire,Netherlands,JPY,177190,100914.2105466216,76275.7894533784,148347.24927391292,35338.19957975486,42234.55320935136,14285.164647875037,10304.583416504214
7ada71f9-729,612381dd,2023-12-21,2024-03-01,IBNR,Large,Disability,Netherlands,JPY,7564,4307.890335654641,3256.1096643453593,7052.042148796007,4784.755304423841,1166.2423707295898,568.3617406783922,91.26411122664413
c80208a1-fe9,612381dd,2023-07-30,2023-09-10,IBNR,Attritional,Disability,Netherlands,JPY,1107,630.4646485417355,476.5353514582645,1306.6485837422128,687.6099489902316,153.10717142453458,137.11353514344083,30.6085087054339
75043a00-213,612381dd,2024-02-18,2024-02-25,IBNR,Attritional,Theft,Netherlands,JPY,14409,8206.291888742428,6202.708111257572,13234.646115674987,4679.941792836158,2311.9747373474593,1740.633836061025,182.39338684495672
e3a9f9fd-c40,612381dd,2023-05-16,2023-05-21,Open,Catastrophe,Collision,Netherlands,JPY,9379,5341.578987057757,4037.4210129422427,10119.631091241885,1065.9378280112253,2566.9595138258305,929.3451275938521,818.5238394551257
82184aea-147,612381dd,2024-02-10,2024-04-29,IBNR,Large,Death,Netherlands,JPY,60047,34198.29336132393,25848.70663867607,58617.1319686692,9963.436784321913,6621.70354734446,8653.15457951343,2868.620450774275
7baf1abf-148,612381dd,2023-05-26,2023-07-26,Reopened,Large,Wind,Netherlands,JPY,223322,127187.55758052165,96134.44241947835,230202.2074821504,137969.65286907312,29108.9957292603,29280.687075789618,21196.063670268028
88a45f50-9a9,612381dd,2023-06-05,2023-07-23,Closed,Attritional,Disability,Netherlands,JPY,342396,195003.2283668438,147392.7716331562,378613.751162363,186840.66466348694,88388.89943501347,24847.23729825196,17892.674573844608
9e1350ea-f07,612381dd,2023-12-09,2024-02-14,Reopened,Large,Other,Netherlands,JPY,31291,17821.020160360837,13469.979839639163,37424.427268506624,8600.087902497395,7015.613180733721,3472.146087506237,2315.81344579169
707185ec-51e,612381dd,2023-08-07,2023-08-18,Closed,Large,Wind,Netherlands,JPY,13183,7508.053714296025,5674.946285703975,11374.593464816042,2062.2456068286474,1516.2160333448194,662.6774051073843,593.8990337975171
0d352f57-976,612381dd,2024-02-21,2024-03-08,Reopened,Large,Fire,Netherlands,JPY,10554,6010.771364687874,4543.228635312126,9420.40007180172,6715.090645688985,2539.266137624218,1006.8846618899935,725.4660446431895
ec096baf-515,612381dd,2023-09-05,2023-10-26,Closed,Large,Wind,Netherlands,JPY,1000,569.5254277703121,430.47457222968785,1017.8249514842315,582.8712510622327,281.68228904252123,132.66311596500597,7.140983685581414
adc360cc-86e,612381dd,2023-07-16,2023-07-23,IBNR,Catastrophe,Other,Netherlands,JPY,43960,25036.33780478292,18923.66219521708,51366.24942936695,17374.667043327747,8516.792554668016,3534.7848736347946,1769.4274502396936
cc20f535-b77,612381dd,2023-09-09,2023-09-12,Reopened,Large,Wind,Netherlands,JPY,54495,31036.288186343158,23458.711813656842,56632.00315917197,43622.190316793036,13455.18522988992,6014.687486334739,140.95073107023404
b8962fc4-425,612381dd,2023-08-18,2023-08-29,Open,Catastrophe,Collision,Netherlands,JPY,15801,8999.071284198702,6801.928715801298,16282.911441483202,10852.096837425408,2133.737738429581,1610.064765144513,698.7666819243626
736b93b5-8ee,612381dd,2023-09-12,2023-10-03,Closed,Catastrophe,Medical,Netherlands,JPY,3340,1902.2149287528425,1437.7850712471575,3520.07238519066,1478.1277613861862,394.9499274042766,283.21899280241325,111.32500348414075
e05cf449-366,612381dd,2024-03-31,2024-07-16,Open,Attritional,Liability,Netherlands,JPY,365096,207931.45557722988,157164.54442277012,352192.79028046574,162804.38191019627,84890.91980428454,32875.151642344674,27765.542477916235
b32d740c-435,612381dd,2023-05-11,2023-08-17,Reopened,Attritional,Liability,Netherlands,JPY,21224,12087.607678997105,9136.392321002895,19121.965284958966,2214.2880618935847,5401.711436453776,2896.8862235917077,1750.825496217491
ee1ebcba-737,612381dd,2023-04-23,2023-05-03,Reopened,Large,Fire,Netherlands,JPY,1000,569.5254277703121,430.47457222968785,875.0330165578108,325.60142323650774,251.28863081111476,112.54087421450089,75.99905360610171
620907ab-9ee,fd1d9ad2,2023-02-18,2023-03-18,IBNR,Catastrophe,Water,Australia,USD,5893,0.0,5893.0,6901.110231862532,2323.6363334353723,1412.2574843233922,366.2063909255919,573.4754185637245
d998de92-005,fd1d9ad2,2023-09-13,2023-09-22,Closed,Catastrophe,Water,Australia,USD,22200,0.0,22200.0,20519.461228932818,273.21580003189257,4031.478651567167,1608.8354639918418,1867.9206131898193
db1825bd-230,fd1d9ad2,2023-01-03,2023-03-15,Reopened,Attritional,Water,Australia,USD,6978,0.0,6978.0,6973.465708738724,4500.412207893646,1407.9817842310106,539.6958929265228,582.4703692234174
4797513c-421,fd1d9ad2,2023-07-05,2023-07-25,Closed,Large,Disability,Australia,USD,9480,0.0,9480.0,8132.482344497429,1626.2876849277245,2084.41992708761,1181.485333126793,129.40991067213963
7d4ef4bb-3bf,fd1d9ad2,2022-12-11,2023-04-17,IBNR,Large,Liability,Australia,USD,102190,0.0,102190.0,119940.3373401667,46697.14178188991,26989.390132966848,7999.831570167206,3050.942228817689
9637d979-b11,fd1d9ad2,2023-09-02,2023-10-15,Reopened,Attritional,Death,Australia,USD,2209,0.0,2209.0,2243.089798459143,686.1409084798682,464.73711486188427,230.49370090757085,100.58562586581009
81cd393f-781,fd1d9ad2,2023-04-19,2023-04-27,Closed,Catastrophe,Theft,Australia,USD,4430,0.0,4430.0,4557.225421597244,931.2134724328199,1130.1324049379434,240.83575350010477,329.9043821433818
40c54a51-3ce,fd1d9ad2,2023-11-02,2023-12-02,Reopened,Large,Water,Australia,USD,350821,0.0,350821.0,350165.4768748333,11688.531364679746,70324.95671615945,38245.81883908116,30510.913363404583
3202b442-818,fd1d9ad2,2023-06-19,2023-07-19,Open,Catastrophe,Death,Australia,USD,3784,0.0,3784.0,3050.4301242045385,490.9356846170363,1037.522072717089,556.2316508651546,28.31500913541942
52dd5144-0dd,fd1d9ad2,2023-03-21,2023-05-14,IBNR,Catastrophe,Medical,Australia,USD,25688,0.0,25688.0,27227.601572582542,19692.132146914104,6947.7888507409325,3491.878202691443,976.1681403561964
df12e552-69c,fd1d9ad2,2023-04-17,2023-04-28,Reopened,Catastrophe,Fire,Australia,USD,668779,0.0,668779.0,700200.768508483,141308.4675703742,158420.31259432292,52658.254294423394,15213.804732047514
1edb4132-489,fd1d9ad2,2022-12-22,2022-12-22,Reopened,Attritional,Wind,Australia,USD,126396,0.0,126396.0,123548.47768633318,78947.07387517231,35477.43754938665,6901.107447692499,10062.934942264292
ad24380b-e2b,fd1d9ad2,2023-04-05,2023-04-26,IBNR,Large,Medical,Australia,USD,80674,0.0,80674.0,69236.6790793013,38566.180395299765,17198.536093401257,10427.271603587202,1371.3260904919687
5217444c-41f,fd1d9ad2,2022-12-16,2022-12-21,Reopened,Catastrophe,Theft,Australia,USD,1908,0.0,1908.0,1906.2196470072201,1001.3974247557053,279.4031103430301,217.11220359548088,87.68605124292029
25f92fb0-75a,fd1d9ad2,2023-10-13,2023-11-17,Open,Large,Collision,Australia,USD,76198,0.0,76198.0,81611.43770739938,10833.683805563422,14351.58521020869,6443.040945131394,4477.178878722307
eb4582a0-524,fd1d9ad2,2023-09-29,2023-10-03,Reopened,Catastrophe,Collision,Australia,USD,15964,0.0,15964.0,15688.370765371417,4340.763313626275,4787.199919928972,2160.4647262051208,170.261276113057
b3683021-e0f,fd1d9ad2,2023-05-20,2023-06-01,IBNR,Catastrophe,Collision,Australia,USD,10791,0.0,10791.0,12917.655937111142,2867.2515586389236,3189.6997866137845,1249.8457943686392,296.19177825032557
0cd2285c-858,08206699,2022-11-26,2022-12-20,Open,Catastrophe,Death,France,USD,653635,0.0,653635.0,740657.0616751538,531170.8788788271,166773.79104061116,47723.093448194806,52417.07950701141
41989aa2-afd,08206699,2022-06-02,2022-06-24,Closed,Catastrophe,Collision,France,USD,72313,0.0,72313.0,77454.8725185724,46919.24433197008,16764.778944985082,9677.917193891044,4543.050512191068
98685aa7-03a,08206699,2022-12-28,2023-03-06,Open,Large,Death,France,USD,97278,0.0,97278.0,79120.65394820506,31943.67392388913,12284.495540994396,13712.577432679947,3178.2583111207505
423d9e64-3c6,08206699,2022-09-10,2022-11-18,Closed,Attritional,Water,France,USD,10000,0.0,10000.0,11146.05124412202,7888.1453703597645,1731.7150612302476,1001.7947622648402,272.52735071236356
38aa3943-5f0,08206699,2022-05-05,2022-05-17,IBNR,Large,Collision,France,USD,3194107,0.0,3194107.0,3509121.779216307,973703.4868578435,392983.5737506458,467263.7707005532,44959.29669293949
1a0bceda-5db,08206699,2022-06-05,2022-07-13,Reopened,Catastrophe,Liability,France,USD,762305,0.0,762305.0,637379.3334241236,270707.5441902409,116550.11931418888,47536.4811978494,28097.469049129963
37d86855-bf6,08206699,2023-01-20,2023-01-22,IBNR,Catastrophe,Medical,France,USD,3411548,0.0,3411548.0,3851524.8396662395,2887065.830535079,415080.3856531162,250346.8642846122,8537.279345215748
b670a428-81f,08206699,2022-11-24,2022-11-29,IBNR,Catastrophe,Theft,France,USD,286565,0.0,286565.0,303489.8017831766,163876.0725146107,55265.06530926178,34418.66779231811,18604.930192454387
77a68128-e45,08206699,2022-04-10,2022-04-10,Closed,Attritional,Fire,France,USD,1353905,0.0,1353905.0,1247956.2930330068,600270.2412819191,161708.24657881548,187821.7314113282,18367.623386375257
e3367a26-699,08206699,2022-09-30,2022-10-03,IBNR,Catastrophe,Disability,France,USD,251974,0.0,251974.0,243822.81782596855,168329.24345382812,32984.55076236316,23052.7113916362,2495.087738455071
ada4a1aa-0ec,08206699,2022-10-18,2022-11-22,Reopened,Large,Fire,France,USD,10000,0.0,10000.0,10761.122654990253,1955.427162278054,1889.3917195581666,736.1126382309957,362.6860387575225
f806c46a-c2d,08206699,2023-01-27,2023-02-27,IBNR,Catastrophe,Liability,France,USD,1020958,0.0,1020958.0,841494.0391741451,253497.0276892476,299795.5111284523,147937.91563625354,84146.44786266933
43ce635a-512,08206699,2022-03-28,2022-04-05,Closed,Catastrophe,Other,France,USD,14969,0.0,14969.0,17789.71831532031,681.3987535012914,2495.3597125276665,2228.6160111099143,1178.0275178545473
b952dffb-1c4,08206699,2022-05-26,2022-06-06,Open,Catastrophe,Theft,France,USD,1115645,0.0,1115645.0,1154194.1421129408,816370.6438105234,163553.26225686196,142174.29319850585,87984.64612410437
9790f11c-670,08206699,2022-12-12,2023-02-06,Open,Large,Water,France,USD,3878557,0.0,3878557.0,4634917.9756162185,1885730.7975522967,1007271.9759912371,236563.41060910057,336056.7523103273
0a15e41c-5c6,08206699,2022-04-18,2022-05-20,Open,Large,Theft,France,USD,18599,0.0,18599.0,19260.03019888647,264.1611350016626,2847.014057467236,1165.7082154514,782.9445397970562
891d20d9-68a,08206699,2022-04-09,2022-04-22,Open,Large,Death,France,USD,234369,0.0,234369.0,260432.43019481216,108258.36019821778,28548.675854118253,23526.866988641315,22157.611882726083
8e1cf2a6-8a7,08206699,2022-03-04,2022-03-13,IBNR,Large,Fire,France,USD,1464001,0.0,1464001.0,1206820.1829589456,631106.9970151633,263993.7124447286,173644.79203326046,71775.4092736
0a8eeebf-3be,08206699,2022-09-25,2022-10-24,Open,Attritional,Liability,France,USD,89412,0.0,89412.0,93285.23569676526,5285.501861056223,13859.146110495143,10131.065607320239,4902.964548113201
1374c414-cd7,08206699,2022-07-26,2022-09-11,Reopened,Catastrophe,Disability,France,USD,151493821,43991765.00398713,107502055.99601287,139065131.33529443,68929077.5860422,28183890.03212893,19589606.806414012,1733302.5008603516
846d4481-60c,08206699,2023-01-11,2023-01-31,Closed,Large,Death,France,USD,205749,0.0,205749.0,237688.73587324418,76627.5556104709,54623.035615853885,18491.283668068387,15011.704383329163
6c82198f-4d9,08206699,2022-07-20,2022-07-26,Reopened,Large,Collision,France,USD,14653,0.0,14653.0,13916.253158560368,2012.9563481724983,4170.199945723187,831.02043641263,1218.7953481822044
4c291804-ca5,2eb1d15f,2025-01-07,2025-03-27,Reopened,Attritional,Liability,United Kingdom,JPY,1872809,1080634.0002669534,792174.9997330466,2106362.729356427,937778.5088973434,406948.31702804746,198814.85904020793,61736.396081010156
3f3b2d77-35b,2eb1d15f,2025-01-22,2025-02-07,Reopened,Large,Medical,United Kingdom,JPY,52514,30301.22873716369,22212.77126283631,60245.99644228403,34079.202435307765,15422.297081921353,5778.693553057269,1846.6347795490028
c201f5ff-c09,2eb1d15f,2025-09-12,2025-09-26,Closed,Attritional,Death,United Kingdom,JPY,1135546,655224.1133330403,480321.88666695973,1010292.9456542479,110598.25565158193,305546.68079981656,98515.54807820584,86597.37749233619
fbcbd502-396,2eb1d15f,2025-09-10,2025-11-06,Closed,Large,Disability,United Kingdom,JPY,16072,9273.743159227917,6798.256840772083,19122.765195745753,11838.380837883878,3579.469952953198,1836.546096107305,42.19515791219924
4dfa7d2f-f04,2eb1d15f,2025-10-23,2025-11-16,IBNR,Attritional,Water,United Kingdom,JPY,45142,26047.493385631322,19094.506614368678,41047.98875490793,30975.021414628387,12834.209354895896,3841.6899258908834,818.9009708831775
80158701-32d,2eb1d15f,2025-02-02,2025-04-25,Reopened,Attritional,Water,United Kingdom,JPY,786373,453746.96548976697,332626.03451023303,862169.6247704517,687784.8562134298,93068.45289931467,81034.37633287883,29582.912339626946
0234486f-f6b,2eb1d15f,2025-07-11,2025-07-14,IBNR,Attritional,Liability,United Kingdom,JPY,13354229,7705555.614454521,5648673.385545479,12348053.919995107,3898695.0820478345,3849776.9643992414,1463922.3289270636,1179635.3817418213
def1547b-aa1,2eb1d15f,2025-02-08,2025-03-08,Closed,Catastrophe,Fire,United Kingdom,JPY,2288847,1320693.0816805214,968153.9183194786,2448122.1045522764,560521.5994280094,531899.978243622,225602.88362546422,101177.15105906517
d9e5dea8-ea8,2eb1d15f,2025-04-09,2025-05-19,Closed,Catastrophe,Wind,United Kingdom,JPY,185053,106777.8741192511,78275.1258807489,173592.50897011996,18468.43651358892,43606.551148205865,20228.777243783956,9751.073733008565
cf36ee60-89f,2eb1d15f,2025-04-27,2025-06-01,Open,Attritional,Medical,United Kingdom,JPY,14801,8540.360409391014,6260.639590608986,17669.112075524354,729.744991223505,2085.233332711917,2139.2241815041552,1135.7540353694649
5fd51f28-548,2eb1d15f,2025-03-31,2025-04-10,IBNR,Large,Wind,United Kingdom,JPY,5152597,2973112.3183803065,2179484.6816196935,4138009.2373597273,3464156.4582076664,696316.6018122118,453535.42441699887,362573.44406917226
219c826e-23e,2eb1d15f,2025-08-04,2025-09-22,IBNR,Attritional,Medical,United Kingdom,JPY,348405,201034.0023264561,147370.9976735439,398821.20502019196,13264.487495805895,36146.42901082438,49514.009799281295,30036.3439292512
2ebfb506-182,2eb1d15f,2025-09-11,2025-11-23,Reopened,Catastrophe,Medical,United Kingdom,JPY,309594,178639.57439260875,130954.42560739125,335537.84860318905,116383.98942340427,38090.79702729519,16125.406553470808,10054.627974725441
ab6526dc-42e,2eb1d15f,2025-10-03,2025-10-24,Reopened,Catastrophe,Liability,United Kingdom,JPY,5917299,3414354.848329778,2502944.151670222,4942435.543389637,4497359.812062432,879685.1666304173,644317.6985403532,310044.3031735095
15fa881f-a0f,2eb1d15f,2025-06-11,2025-07-12,IBNR,Catastrophe,Liability,United Kingdom,JPY,165754,95642.11197204232,70111.88802795768,147293.7820199831,116227.71287321897,19107.43746673263,18783.652144864478,8794.987146234955
253f9a5e-06c,2eb1d15f,2025-02-28,2025-04-05,IBNR,Large,Water,United Kingdom,JPY,290901,167853.48175476358,123047.51824523642,260213.13777098042,38340.69258707962,40567.41294265991,32068.896721494923,22114.738968988648
52401329-917,2eb1d15f,2025-10-22,2025-11-03,Open,Attritional,Death,United Kingdom,JPY,252824,145882.58091641605,106941.41908358395,249178.58823749426,128273.27384409057,54583.088062390714,29861.889052146955,22300.294314245188
db98108b-80c,2eb1d15f,2025-10-16,2025-10-30,IBNR,Catastrophe,Liability,United Kingdom,JPY,245869,141869.45973221806,103999.54026778194,211541.4981292458,15110.52668108375,46331.950889472704,19738.8657567194,6753.3739951154475
d525221d-ad8,d2df4a6f,2022-03-03,2022-03-29,IBNR,Catastrophe,Wind,Japan,GBP,19152,6254.846052219196,12897.153947780804,17699.572461924825,7789.5488858359195,2133.1116507143715,2550.46538896121,146.955213447401
0c9a02c4-984,d2df4a6f,2022-03-21,2022-03-21,Reopened,Large,Other,Japan,GBP,17451,5699.316962054991,11751.68303794501,17830.149998489895,12436.211142069995,4871.889087146353,1657.3802862411965,1413.2097579747297
ab0226bb-781,d2df4a6f,2023-01-02,2023-01-24,Closed,Large,Other,Japan,GBP,70471,23015.10318222321,47455.89681777679,69784.02129127042,9568.19784223651,7919.1603039649335,4252.938079312177,6336.236711569732
becf8703-8f1,d2df4a6f,2022-07-28,2022-09-10,Open,Catastrophe,Water,Japan,GBP,643026,210005.67238796473,433020.32761203527,524488.5619369259,409517.2386397626,191748.55563970748,65850.27054708046,39212.07312060441
2f125185-66d,d2df4a6f,2022-08-08,2022-08-10,IBNR,Large,Medical,Japan,GBP,10000,3265.8970615179596,6734.10293848204,9635.077588989281,3045.304321572776,2195.771724765979,1289.2269315636645,647.305356969307
c3bfbc6b-2a9,d2df4a6f,2022-03-08,2022-03-09,IBNR,Attritional,Disability,Japan,GBP,63884664,20864073.643366218,43020590.35663378,68442945.80385949,16337370.557538064,15635562.675064838,7388670.805480034,5790139.867715528
d14cf04e-7f1,d2df4a6f,2022-04-20,2022-05-20,IBNR,Attritional,Other,Japan,GBP,16330325,5333316.043113327,10997008.956886673,17399060.546005357,13473690.798312599,2646269.5199071593,1887874.9263312144,1081288.230657951
ac9653ae-aba,d2df4a6f,2022-04-10,2022-05-18,Open,Large,Disability,Japan,GBP,169034,55204.764389662676,113829.23561033732,160695.84392796826,120436.00864695561,44394.57534947021,19778.94555567079,14012.225102424294
70dac02f-c16,d2df4a6f,2023-01-19,2023-01-30,Open,Catastrophe,Medical,Japan,GBP,491484,160513.61513830928,330970.3848616907,493152.7821044108,8064.015872340301,79508.94631585528,71322.64989234824,16795.59799146338
f75b9485-9e5,d2df4a6f,2022-10-09,2022-11-25,Closed,Attritional,Water,Japan,GBP,53570,17495.41055855171,36074.58944144829,46176.16516585271,14261.02459707428,13800.91954071538,5398.19379106593,2891.551952822036
f2b9407c-bb8,d2df4a6f,2022-10-30,2022-11-01,Open,Catastrophe,Liability,Japan,GBP,10000,3265.8970615179596,6734.10293848204,11505.571090170968,5562.283189441571,2194.492882143257,654.2527613211216,180.84596716869663
e0cf09df-a52,d2df4a6f,2023-01-23,2023-01-23,Closed,Catastrophe,Death,Japan,GBP,23634,7718.621115191545,15915.378884808455,19320.250736910795,7748.867118209937,5764.737562873644,3473.2257052959435,1443.081220652153
9cfc6002-055,d2df4a6f,2022-09-20,2022-09-25,Closed,Catastrophe,Theft,Japan,GBP,10357840,3382763.9219673183,6975076.078032682,9568439.58309357,7538037.009245091,2007381.7188854537,1382889.0903710043,381003.7790741574
965b0f86-53f,d2df4a6f,2022-11-22,2022-11-27,Reopened,Large,Collision,Japan,GBP,360201,117637.93874558304,242563.06125441694,400273.22253658425,163032.74386246566,66180.50968977623,23847.40160613361,7193.132256410549
cca49a07-b0e,d2df4a6f,2022-12-09,2023-01-15,Closed,Large,Fire,Japan,GBP,10000,3265.8970615179596,6734.10293848204,10564.71614481779,7867.052505470134,2109.0814908488624,602.5897317484095,845.8922767334385
fd308c78-d02,d2df4a6f,2022-04-07,2022-05-09,IBNR,Attritional,Water,Japan,GBP,418001,136514.82376115685,281486.1762388431,380011.61440819467,340577.01059320243,54118.47711062932,39186.44676340622,39560.1690352179
336b3bb6-7f0,d2df4a6f,2022-05-27,2022-06-24,Reopened,Large,Fire,Japan,GBP,10103348,3299649.4544693353,6803698.545530665,9759417.529445054,3604961.1412133076,1765987.4097237703,895324.4676413622,82448.8130835303
feb985f8-635,d2df4a6f,2022-05-28,2022-06-13,Open,Large,Wind,Japan,GBP,26190,8553.384404115535,17636.615595884465,29743.21078901918,15320.223289498155,6764.251779131638,1669.873320254058,751.3371415634493
973b0753-67a,d2df4a6f,2022-10-02,2022-11-13,Closed,Catastrophe,Death,Japan,GBP,10000,3265.8970615179596,6734.10293848204,9794.405895928985,47.26078475056139,1158.4515425414427,755.9239284370448,834.963099282381
160f90b1-957,d2df4a6f,2022-11-10,2022-11-10,Reopened,Attritional,Collision,Japan,GBP,89906,29362.374121283367,60543.62587871663,80470.91288655192,9859.407587847601,13278.028399611763,10239.859443272868,5599.440695726317
9c7c8d4f-7c7,7517f039,2024-09-08,2024-09-27,Open,Large,Other,Canada,AUD,17540344,3406374.394737999,14133969.605262,17793302.311748177,9976236.367869513,3771340.44428254,2137368.6688726624,510901.0863141818
ea0f6785-5c2,7517f039,2024-08-07,2024-08-12,IBNR,Attritional,Other,Canada,AUD,10000,0.0,10000.0,9666.27038083416,5979.3417156780815,1171.2279099745235,1474.6544909522215,67.67932290884605
960a61b5-7fd,7517f039,2025-05-03,2025-05-31,Open,Large,Death,Canada,AUD,10000,0.0,10000.0,8174.137700667106,3481.931893746218,1746.604774201665,1247.3165915626453,357.0938765147329
e5bed5e7-f31,7517f039,2024-09-10,2024-10-10,IBNR,Attritional,Wind,Canada,AUD,118062,0.0,118062.0,130883.59809206329,78117.88122081998,19657.762388322655,6426.536003150887,6446.3474786710485
61875528-2bd,7517f039,2025-07-02,2025-07-31,Closed,Catastrophe,Death,Canada,AUD,50809,0.0,50809.0,60580.97680429825,21882.32126886159,6933.1725642820975,3225.6224798001904,3638.1533331405053
2febfdee-b2e,7517f039,2025-03-29,2025-04-18,Open,Large,Theft,Canada,AUD,447950,22153.20065775013,425796.79934224987,366209.2084726017,80417.26081144676,48549.353337542925,64207.85304687805,23086.607880655276
7b51465c-a41,7517f039,2025-05-12,2025-05-17,Reopened,Large,Fire,Canada,AUD,1582229,1156432.20065775,425796.79934225,1742534.6948767414,272132.4510960166,271185.8787148514,202658.46716787067,136989.1142142938
79504b1f-775,7517f039,2025-01-23,2025-01-25,IBNR,Attritional,Liability,Canada,AUD,98111,0.0,98111.0,95636.69485990825,35321.88269892853,18439.700173942412,14289.658348439709,3326.3222649753047
