policy_number,age_at_issue,gender,smoker_status,annual_income,face_amount,annual_premium,state,occupation,issue_date
POLC75042A0,36,F,Non-Smoker,42176.228175584285,331016.1177230245,3257.1985983945615,CA,Manager,2022-05-09
POL0408EE1B,26,M,Non-Smoker,44643.48246037993,246199.31958701124,2198.067525272836,PA,Teacher,2021-06-06
POL8F5B0117,43,M,Non-Smoker,35440.68206027224,373152.4921323483,5158.460051237584,OH,Salesperson,2025-06-09
POL02C7EA4D,35,M,Non-Smoker,116931.31158026498,867817.3498510792,9997.25587028443,IL,Nurse,2022-05-02
POLE678864E,58,F,Non-Smoker,65265.20271931996,871487.8806624546,13176.896755616313,IL,Nurse,2021-02-11
POL3E5EABFB,44,M,Non-Smoker,76750.24649410164,552786.7793582581,7800.927030303738,MI,Manager,2021-02-18
POL8F064EC8,43,M,Non-Smoker,85275.90712006154,1140744.4274492098,15769.650965057877,NC,Teacher,2024-11-21
POLB0168F4A,47,F,Non-Smoker,35751.007623517326,427504.9717706912,5335.262047698226,OH,Salesperson,2023-09-03
POLD6DC5F1A,50,F,Non-Smoker,50881.142976117655,761310.9842592796,10049.30499222249,PA,Nurse,2024-09-08
POLEC75387F,33,F,Non-Smoker,77725.36570944378,932982.5131682799,8508.800520094712,FL,Salesperson,2024-04-20
POL2BB2E85B,57,F,Non-Smoker,90970.72371526035,463220.2429924158,6892.717215727148,NC,Manager,2023-05-02
POL9F8F4549,53,M,Non-Smoker,109603.76063225004,882709.0777105174,14744.772434076482,TX,Accountant,2025-07-08
POL71B3EB35,40,M,Non-Smoker,50323.184425317726,436034.6844534415,5651.009510516603,GA,Manager,2022-07-18
POLAAEED3E7,57,M,Non-Smoker,84357.60532424971,851011.3973951144,15195.659511887163,IL,Accountant,2023-05-31
POL46AA398C,54,F,Non-Smoker,110636.86158503035,1251456.2759794057,17720.620867868387,TX,Nurse,2024-10-19
POL27DA0AC0,57,F,Non-Smoker,79104.74845687427,785128.6250853818,11682.713941270484,PA,Salesperson,2023-09-30
POL1C755364,43,M,Non-Smoker,74739.82761570535,582642.0556193008,8054.443776881215,IL,Manager,2024-12-17
POLF6872D77,65,F,Non-Smoker,90001.90781271731,747691.1233634239,12561.210872505522,PA,Manager,2023-07-16
POL6679B3D5,57,F,Smoker,63930.43524702406,491289.32077382255,18275.9627327862,FL,Engineer,2024-03-05
POL64DAFB9F,66,M,Non-Smoker,71064.08368175318,849947.6155678052,17379.72884313048,GA,Accountant,2020-11-17
POL13DA340B,56,F,Non-Smoker,57451.55036565524,456906.77295882255,6689.115156117161,MI,Teacher,2021-10-16
POL6D0A697A,57,F,Smoker,67858.36759399182,820347.2681674593,30516.91837582949,OH,Nurse,2022-02-05
POL38261832,50,F,Non-Smoker,99202.73280829898,1287944.297453437,17000.864726385367,CA,Accountant,2021-01-18
POLEC92AA62,38,F,Non-Smoker,238246.90710584813,1996497.5428955848,20603.854642682436,TX,Engineer,2021-10-25
POL71C9187F,47,F,Non-Smoker,57023.55068066278,844998.2899525393,10545.57865860769,IL,Engineer,2021-02-26
POLBBE29865,46,F,Non-Smoker,65429.82284579249,352558.612168768,4315.31741294572,IL,Manager,2022-01-15
POL186A430D,61,F,Non-Smoker,68584.05982830949,770123.8757420923,12198.762191754742,NY,Accountant,2023-10-31
POLE7020C47,56,M,Non-Smoker,104222.76516937754,1084578.6990657677,19053.878585187405,OH,Salesperson,2022-06-23
POL71B102F9,37,F,Non-Smoker,50658.84390447098,630217.620621977,6352.5936158695295,MI,Nurse,2022-07-03
POL4D6F1CB9,47,F,Non-Smoker,41277.11576354429,490578.4798885292,6122.419429008844,CA,Engineer,2021-09-12
POLEEAE3E98,25,F,Non-Smoker,40888.79098437147,279215.6502605511,2010.3526818759676,PA,Teacher,2021-12-26
POL9EDCB547,63,F,Non-Smoker,79939.19673205097,747969.3992426033,12206.860595639286,OH,Manager,2025-05-03
POL86093AE4,50,F,Non-Smoker,79157.03530722322,473227.7976251549,6246.606928652044,PA,Salesperson,2023-11-22
POL26A69539,54,M,Non-Smoker,149045.69855477562,816858.2520612571,13880.05541902488,IL,Nurse,2023-09-12
POL3B8685E4,58,F,Non-Smoker,221132.3205598825,2618126.557858365,39586.073554818475,GA,Engineer,2021-07-04
POL63CFE11C,52,M,Non-Smoker,87173.49364915023,1255499.0180417264,20610.27188017298,GA,Salesperson,2024-04-19
POL1D15A6F1,59,F,Non-Smoker,161186.3693132462,2323444.790195008,35688.11197739532,FL,Teacher,2021-06-20
POLC6F44D5F,64,M,Non-Smoker,47324.347844137854,329278.6168963607,6543.424674964479,TX,Nurse,2022-07-20
POLF99B4C89,59,M,Non-Smoker,60099.19718489284,710140.3288796039,13089.306541908856,TX,Manager,2025-08-07
POL1876CF87,31,M,Smoker,120123.61050504463,1437563.8912911443,37261.65606226646,GA,Salesperson,2023-11-08
POL47523499,45,M,Non-Smoker,38569.42241746776,412122.10185584653,5934.558266724191,FL,Teacher,2023-06-09
POL1E0FBBB6,60,M,Non-Smoker,128962.4346996369,1646093.2309945996,30814.865284218904,GA,Accountant,2024-01-28
POL877F5860,61,F,Non-Smoker,119816.65712577979,884529.8795044252,14010.953291350095,CA,Teacher,2024-11-12
POLE08382A4,44,F,Non-Smoker,97013.24457307624,795556.7250683634,9355.747086803953,FL,Teacher,2024-07-13
POL49FDFB98,36,F,Non-Smoker,66294.10215775865,965773.0670208653,9503.206979485314,NY,Manager,2021-10-18
POL2AA94DBF,40,F,Non-Smoker,100755.3374812815,799202.1899622623,8631.383651592434,NC,Salesperson,2020-10-23
POL3001FA51,45,M,Non-Smoker,90443.38353603422,534706.8032687687,7699.777967070271,MI,Engineer,2022-03-25
POL88F5DD80,38,M,Non-Smoker,90558.11201218753,852632.2460626136,10558.997735239403,OH,Nurse,2021-12-28
POL9E137013,35,M,Smoker,84890.9549388488,949265.9922478748,27338.86057673879,IL,Accountant,2021-09-15
POL74861917,64,M,Smoker,71774.83237987502,948762.8418521698,47134.53798321579,MI,Engineer,2025-05-14
POLE082E78E,53,M,Smoker,120176.02680758371,1739245.8383292,72630.90620862738,NC,Nurse,2025-01-13
POLC8FBF316,60,F,Non-Smoker,73658.2930450953,429796.66782613675,6704.828018087735,IL,Manager,2022-03-23
POLAD05AE39,50,F,Non-Smoker,52810.61282365884,478042.7693218145,6310.164555047952,MI,Salesperson,2023-12-06
POLB6FDBEF1,32,F,Smoker,66077.94043997064,759374.4989622592,16858.113876962154,CA,Manager,2022-08-18
POLF755305F,52,M,Non-Smoker,55090.0029343175,753961.2998786174,12377.028698807384,IL,Nurse,2025-03-23
POL402EDC36,68,F,Non-Smoker,65983.86104051466,696792.8972787563,12207.811560323811,PA,Accountant,2022-12-12
POLCF0DAC42,35,M,Non-Smoker,96598.22056246696,555859.5329904081,6403.501820049501,NC,Teacher,2021-12-22
POL8F0F521A,39,F,Non-Smoker,54466.81788303875,614145.0060048751,6485.371263411481,IL,Manager,2021-11-19
POL9C6CF729,47,F,Smoker,72545.10692268953,812601.3907510247,25353.163391431972,GA,Engineer,2023-06-17
POL02F85735,60,F,Non-Smoker,113925.41665692147,972185.0813298032,15166.08726874493,TX,Salesperson,2021-12-19
POL2D133F8F,61,F,Non-Smoker,47886.77170103761,629134.0217066685,9965.48290383363,FL,Nurse,2023-07-30
POLAB704AE5,42,F,Non-Smoker,83615.67906900418,904021.4675405932,10197.362153857894,NC,Engineer,2025-02-21
POL30405867,54,F,Non-Smoker,121083.85144087364,1800851.2189352831,25500.053260123612,CA,Manager,2022-08-25
POLF2EC71EC,50,M,Non-Smoker,73839.85015400457,1085382.5887384417,17192.460205616913,CA,Nurse,2021-09-30
POL962ABB9F,58,M,Smoker,90763.40576587437,938807.9066291985,42584.32664470044,PA,Accountant,2025-08-22
POL0103EFB5,47,M,Non-Smoker,64856.387727196874,937022.8635222134,14032.854404108666,MI,Manager,2023-03-14
POL0276DC31,45,M,Non-Smoker,49745.055855330604,582863.1599149844,8393.229502775775,TX,Salesperson,2021-02-08
POL25F91D66,32,M,Smoker,88070.32618647617,879087.3357588865,23418.886624616734,IL,Accountant,2020-11-20
POLFC791D51,36,M,Non-Smoker,84910.8560253852,832165.4200376516,9826.209279804589,OH,Nurse,2021-03-14
POL46B4F442,38,M,Non-Smoker,112181.11515864152,799811.147062154,9904.861245217715,IL,Salesperson,2023-10-16
POL029842FD,62,F,Non-Smoker,108815.850806916,643103.9536641694,10341.111574919845,TX,Salesperson,2024-08-12
POL106A81C9,62,M,Non-Smoker,157336.54014919949,2219186.7092378926,42821.42674145438,OH,Engineer,2022-10-06
POL661EFFD3,41,M,Non-Smoker,44991.49094276592,431529.4768967668,5716.902509928366,TX,Accountant,2020-12-20
POL4937648C,26,M,Non-Smoker,44256.31973389284,501601.5059530831,4478.298245149126,FL,Teacher,2022-07-24
POLDAFAFAA8,40,M,Non-Smoker,83719.13683346474,570864.1208982649,7398.399006841513,GA,Teacher,2025-08-19
POLB2EE3327,56,M,Non-Smoker,64115.57541425636,748586.3623464352,13151.165213702172,TX,Nurse,2023-04-19
POL45634611,43,F,Non-Smoker,51080.395560014855,271647.9349092995,3129.3842101551304,IL,Teacher,2025-07-05
POLA1510D25,65,M,Non-Smoker,57522.15964935745,801983.8798218961,16167.995017209425,CA,Accountant,2024-12-15
POLFA522255,69,F,Non-Smoker,83945.13630294002,997087.4997517974,17708.27399559192,GA,Accountant,2020-09-15
POL5FE43E07,41,M,Non-Smoker,57251.47556218308,747819.5064936471,9907.112822027835,CA,Manager,2024-04-03
POLFC9BBC84,39,M,Non-Smoker,74212.23524001452,935041.0720000479,11848.840464384606,GA,Engineer,2024-01-23
POL029BFE05,50,M,Smoker,86454.55856278873,650516.0386959595,25760.43513235999,OH,Manager,2023-05-04
POL55731593,47,M,Non-Smoker,56025.53389457969,530792.8366961143,7949.153522361007,FL,Manager,2021-12-26
POL723F79D9,49,M,Non-Smoker,76809.84707689431,524061.2036876868,8150.199839750905,OH,Teacher,2023-11-10
POLF897B2FB,63,M,Smoker,53223.47094201457,448634.9346715744,21965.166401520284,NC,Salesperson,2021-03-17
POL5BD6042F,27,F,Non-Smoker,47878.63294884021,469010.5189314519,3602.000785393551,NY,Accountant,2022-10-29
POLB6F0EDDB,32,F,Non-Smoker,41067.52680453029,343918.7029740402,3053.998082409477,NY,Engineer,2022-12-02
POLBE6FCDA4,58,F,Non-Smoker,117083.58812812384,1168784.2230479312,17672.017452484717,IL,Nurse,2025-06-03
POLEC97A0E1,57,M,Smoker,70634.88427458044,697738.3096542156,31147.038142964186,GA,Teacher,2025-01-12
POL4DA571EE,27,M,Non-Smoker,30846.086214790383,280821.79014994705,2588.053618021912,NY,Accountant,2021-12-20
POLE2D7D79D,44,F,Non-Smoker,80534.48106808471,610373.1087609859,7177.9877590291935,GA,Accountant,2023-02-26
POLE6788AE6,26,M,Non-Smoker,48849.08808761095,523473.0266371682,4673.5671818166375,FL,Nurse,2021-07-18
POL8A79C22D,29,F,Non-Smoker,35790.58044798732,360629.6031853295,2942.737561992289,CA,Salesperson,2025-03-20
POLBA9A6E93,25,M,Non-Smoker,26185.291488840052,206505.2091360129,1784.2050069351515,PA,Accountant,2025-01-02
POL6AABFB85,60,M,Non-Smoker,50591.17877508664,482775.41581875883,9037.555784127166,PA,Engineer,2022-02-22
POL4EA9939B,26,F,Non-Smoker,65312.05819553823,855505.960365063,6364.964345116069,CA,Nurse,2023-11-06
POLB5431B9F,41,M,Smoker,153615.3261259585,1988226.959579856,65850.07690128483,CA,Nurse,2023-09-12
POL7F6670E6,68,F,Non-Smoker,70904.00451053726,1016010.4717297571,17800.503464705347,NC,Engineer,2021-06-01
POL59E9CE85,59,F,Smoker,98402.32977016017,1320390.7778565811,50703.00586969272,GA,Manager,2024-06-19
POL9E8A0EF0,61,M,Non-Smoker,136550.08699509912,906222.7673312648,17225.48236143268,PA,Nurse,2023-05-08
POLCD6C3DC6,43,M,Non-Smoker,38669.692281410134,532559.2112303452,7362.098536048293,NC,Engineer,2024-07-18
POL37D13711,32,F,Non-Smoker,83573.09523314037,732889.6031449975,6508.059675927578,FL,Nurse,2023-04-21
POLE46EED08,57,F,Non-Smoker,52909.11739190656,740502.5539611167,11018.678002941417,OH,Engineer,2020-08-27
POL26767AB7,64,F,Non-Smoker,85410.34950914893,890701.2410486627,14750.012551765853,IL,Accountant,2022-04-10
POLF64AB95E,31,M,Non-Smoker,57565.558434871135,793615.5490104435,8228.206012140277,CA,Salesperson,2020-09-30
POL0A9A8E63,63,F,Non-Smoker,99130.06226935943,1484663.622768904,24229.71032358852,NC,Teacher,2025-04-19
POL7D9F4C5F,61,M,Non-Smoker,76478.82004935847,928501.8847276934,17648.963824903996,PA,Manager,2025-01-17
POL0E2696CE,57,F,Smoker,74817.72979525653,775471.8169319672,28847.55158986918,NY,Nurse,2024-10-23
POLA599467D,39,F,Non-Smoker,65974.33025238648,806372.9459899175,8515.298309653528,TX,Manager,2022-03-10
POL2410FD27,60,M,Non-Smoker,72013.78251283358,541398.9392147826,10134.988142100729,PA,Salesperson,2020-12-09
POLE46D8671,34,M,Non-Smoker,66380.59988427068,523032.40608242026,5874.699985117745,MI,Nurse,2025-01-16
POLC061EC33,42,F,Non-Smoker,48512.76215255661,251349.56116517817,2835.2230499432103,NY,Salesperson,2025-05-22
POL4A53215B,61,M,Non-Smoker,91626.85781242842,1014048.2219379707,19275.028602596947,IL,Manager,2021-01-29
POL5AAE1496,38,M,Non-Smoker,53280.04043192509,759543.4800615237,9406.186457081909,OH,Teacher,2023-01-30
POL96B30920,61,F,Non-Smoker,182045.85156288798,1636597.1278337669,25923.698504886863,NC,Nurse,2020-12-30
POL924BDDC6,34,M,Non-Smoker,87765.9764577881,442895.22250867955,4974.599139217488,NC,Manager,2024-06-15
POL1536EE77,49,M,Non-Smoker,73541.13484390968,721318.6446554144,11217.947561681007,CA,Manager,2024-06-25
POLCA932556,68,M,Non-Smoker,108296.89300509813,810305.9901485646,17035.87313688342,NC,Salesperson,2021-04-17
POL4AEE55F7,48,F,Non-Smoker,60460.91291261213,435377.3494917182,5537.999885534657,TX,Nurse,2023-01-11
POL9B9DE64B,31,M,Non-Smoker,98421.01978860411,943846.7416667587,9785.803017600952,NY,Accountant,2023-05-27
POL290FFA5E,52,F,Non-Smoker,71461.37397583367,578792.0558491843,7917.875324016841,OH,Manager,2021-12-23
POL410391CB,43,M,Non-Smoker,57072.40701029435,552593.209931279,7639.04853409,CA,Nurse,2025-01-05
POL0BAB71FA,54,M,Non-Smoker,51802.0923162736,628908.0674493393,10686.405882099174,TX,Engineer,2022-10-08
POLDB283A72,52,F,Non-Smoker,104892.28169180793,1045788.5818585684,14306.387799825216,FL,Salesperson,2021-09-16
POL8EBE621C,32,M,Non-Smoker,71702.43611355755,552642.7068594046,5888.960684293816,TX,Salesperson,2023-05-08
POL2148E50E,47,M,Non-Smoker,87866.40551463052,1177224.3122899535,17630.11130085434,OH,Nurse,2024-04-20
POL1EBBF6FD,25,F,Non-Smoker,35712.68066868019,359093.8179635566,2585.4754893376075,GA,Accountant,2021-08-28
POL01ED66DA,61,M,Non-Smoker,70487.9990014476,812547.6649918556,15444.90601616519,GA,Engineer,2022-03-18
POLCFB0C673,56,M,Non-Smoker,123667.04735954794,1808815.225481362,31777.265881256564,NY,Nurse,2025-08-18
POL3FEF468A,45,F,Non-Smoker,85079.446927315,701046.18672571,8412.554240708523,TX,Engineer,2023-11-26
POL9661C72A,57,M,Non-Smoker,51506.988879980454,717323.263359051,12808.524190539216,PA,Salesperson,2022-11-04
POL772A39CD,66,M,Non-Smoker,144323.504197781,1245597.298341717,25469.97355649143,OH,Salesperson,2023-03-29
POL81C6AEC5,29,F,Non-Smoker,37280.45994296349,507412.41798316245,4140.485330742606,FL,Salesperson,2021-04-04
POL3FECF84F,46,F,Non-Smoker,109178.43421746469,670615.34988972,8208.331882650173,GA,Manager,2021-10-10
POLA20D6CB0,47,F,Non-Smoker,67249.15476630302,516929.02706631366,6451.274257787593,GA,Engineer,2022-05-05
POL43DFAC88,49,M,Non-Smoker,73729.60587132434,471394.7135282657,7331.130584791588,NY,Engineer,2023-08-05
POL919C3898,53,F,Non-Smoker,52131.70790673125,549560.9970885474,7649.889079472579,NC,Accountant,2021-10-20
POLB512CE1E,36,F,Non-Smoker,88503.95233145318,452251.50461161573,4450.154805378299,PA,Manager,2021-10-02
POLE36213BA,55,M,Non-Smoker,138215.1169639616,1610256.8023971557,27825.23754542285,OH,Engineer,2021-01-02
POL8DC17C4B,41,M,Non-Smoker,120137.45001863554,1060980.1079710536,14055.864470400516,MI,Accountant,2023-10-23
POL60C84332,26,F,Non-Smoker,40538.76042159105,447204.19074230694,3327.199179122764,MI,Nurse,2021-10-18
POLDFED1A05,35,M,Non-Smoker,79603.30582121106,681143.7693162577,7846.776222523287,CA,Manager,2025-03-07
POL60C81068,64,M,Non-Smoker,158704.76519575503,2280317.2640581364,45314.46467136328,PA,Teacher,2024-12-13
POLD4507A4F,60,F,Non-Smoker,77578.09954076717,513577.7851644264,8011.813448565052,NY,Manager,2021-01-02
POLE11E9A1D,69,M,Non-Smoker,73597.7518352382,621447.4436470375,13244.287919005665,GA,Teacher,2021-11-03
POL844A49F5,49,M,Non-Smoker,149459.99604747302,1641498.299277531,25528.58155036416,NC,Manager,2023-12-31
POL11B43897,61,M,Smoker,77502.91677723434,1013296.5799859297,48151.85348093137,CA,Nurse,2021-09-21
POLE6939448,34,M,Non-Smoker,61548.075627047925,628590.907159249,7060.333069212685,GA,Manager,2021-04-24
POL56929DCF,55,F,Non-Smoker,125027.26587445373,1686862.4344491402,24290.81905606762,NC,Engineer,2025-05-01
POLB2C48C11,36,M,Non-Smoker,103146.57849833691,1534478.6496629065,18119.1238952196,MI,Engineer,2023-07-05
POL3E7114DD,31,F,Non-Smoker,51531.290940660845,418874.6010311856,3619.0765529094438,PA,Teacher,2023-01-06
POL61D0A4FE,32,M,Non-Smoker,163904.0758952904,2367211.642446729,25225.007261912346,TX,Accountant,2024-07-29
POL367C0F9A,63,F,Non-Smoker,164017.1602725083,1886471.8265785316,30787.22020976164,GA,Manager,2024-09-09
POL1634D47C,69,F,Smoker,94129.50488585682,1126060.7017391704,49997.09515721916,GA,Engineer,2021-08-08
POL2809F1CE,47,M,Smoker,84881.76027869026,1095588.542640133,41018.83503644658,NC,Nurse,2021-02-19
POLD4915EC1,57,F,Non-Smoker,47643.48418871455,531636.1016293224,7910.745192244318,TX,Manager,2022-10-22
POL778D2EC4,58,F,Smoker,87124.35390014596,1253778.434515061,47392.824824669304,FL,Manager,2022-10-08
POL039A0E9D,53,M,Non-Smoker,117014.20866551498,1055387.321269504,17629.18981448579,PA,Salesperson,2022-12-27
POL61E96BCE,40,M,Non-Smoker,45283.467770334915,560420.1826713748,7263.045567421017,CA,Manager,2024-04-19
POLE23F04DB,38,M,Non-Smoker,44252.347174471615,598655.4091871115,7413.7485873731885,TX,Accountant,2024-01-08
POL62A9128B,49,M,Non-Smoker,69683.75553944468,435131.54092322115,6767.165724437936,MI,Nurse,2025-07-29
POL0A944F28,61,M,Smoker,65215.95078548897,598409.0271530068,28436.396970310878,GA,Accountant,2021-02-21
POLD4955E31,35,F,Non-Smoker,71717.25438659849,959451.8858224669,9210.738103895683,IL,Nurse,2022-08-31
POL678D967E,69,M,Smoker,69743.70969531762,381459.9820811889,20324.187845285745,NC,Engineer,2022-05-07
POL5FE24340,27,M,Non-Smoker,52522.64162452304,376232.2994898549,3467.3568720985027,NC,Manager,2024-12-17
POLCEB3C498,66,F,Non-Smoker,121620.53702203959,1205486.1506535274,20541.484007136107,CA,Manager,2021-11-23
POL87B977A2,59,F,Non-Smoker,90335.28731271446,987310.4302946468,15165.088209325773,PA,Engineer,2021-08-08
POLA74344DD,65,M,Non-Smoker,53943.00477252819,416957.51246844605,8405.863451363874,NC,Manager,2022-11-23
POLFFF35E9D,58,M,Non-Smoker,100053.09422389872,1051415.3151743468,19076.879478523348,TX,Salesperson,2022-10-05
POLB1DE1F51,62,M,Non-Smoker,117652.35743415062,1439382.6050781857,27774.32674758867,MI,Engineer,2022-01-16
POL333E0F87,61,F,Non-Smoker,72774.66357270717,983336.28587015,15576.046768183176,GA,Nurse,2021-11-25
POLDD9E55EB,53,F,Non-Smoker,90902.5125833132,973855.8359858587,13556.07323692315,GA,Engineer,2025-04-08
POLDFF1EF62,51,F,Non-Smoker,89108.94362973647,1219153.6396464421,16385.424916848184,CA,Manager,2022-11-13
POLBE6A29CB,65,M,Non-Smoker,142886.04585719702,1055484.976867315,21278.57713364507,PA,Engineer,2024-12-16
POLB8D2BA8C,51,F,Non-Smoker,80843.55217630995,675139.7466771913,9073.878195341453,OH,Engineer,2023-05-28
POL6B949B66,26,F,Non-Smoker,47024.869294815944,473760.3849884775,3524.777264314273,OH,Engineer,2020-11-26
POL9C9CCCCD,37,F,Non-Smoker,75556.5016855958,574081.0055339591,5786.736535782308,GA,Nurse,2025-08-25
POL4DA76CFF,30,M,Non-Smoker,77051.57154387026,399456.7046068321,4026.5235824368674,NC,Engineer,2024-10-31
POL00E5EF7C,52,M,Non-Smoker,89596.38789151264,508761.4940676277,8351.828686614175,CA,Salesperson,2025-07-01
POLFEED419C,41,F,Non-Smoker,84778.48687066461,717126.8563800389,7917.080494435629,MI,Manager,2025-04-14
POL26724189,38,F,Non-Smoker,83731.79664372608,439246.0501088769,4533.01923712361,CA,Accountant,2024-11-23
POL77789CF7,39,M,Non-Smoker,64055.28235724188,482021.6043758437,6108.177770650692,OH,Engineer,2021-06-25
POLE65CFFD1,58,F,Non-Smoker,55050.28753773225,365326.8217349,5523.741544631687,OH,Nurse,2023-01-30
POL34C62E7B,35,M,Non-Smoker,38777.73828976935,225834.19771813374,2601.6099577129003,NY,Accountant,2021-09-20
POLBCF34DA2,51,M,Non-Smoker,96728.04003751649,1312947.8133325027,21175.222333426605,NY,Accountant,2022-08-28
POLAFDF1995,29,M,Non-Smoker,48407.501385103824,440185.87170217454,4310.300055707693,IL,Engineer,2020-12-11
POLC6A112D5,59,M,Smoker,58392.615167856704,796684.4623397641,36711.22002461633,GA,Salesperson,2022-07-19
POLDC22767B,49,F,Non-Smoker,115655.67925769107,1476456.7614785954,19134.879628762596,TX,Salesperson,2025-07-31
POLF903282F,27,M,Non-Smoker,52499.99359985168,770443.3194743359,7100.40563227548,NY,Accountant,2021-12-23
POL4DE41567,49,M,Smoker,69438.7466650376,762664.6871813979,29652.403037612756,NY,Salesperson,2024-07-28
POLF8D57F06,62,M,Non-Smoker,97129.75958180646,802219.41746157,15479.625879338455,TX,Manager,2022-12-05
POL0AD34AB7,37,F,Smoker,55638.83921169558,536691.4622204704,13524.624847955856,TX,Accountant,2022-10-07
POLAA217975,55,M,Non-Smoker,122388.17539381297,1777870.1629786603,30721.596416271248,NC,Manager,2025-06-10
POL11FBB652,48,F,Smoker,93701.43370052658,564825.1252475051,17961.438982870666,IL,Accountant,2025-08-18
POLA6C55154,44,F,Non-Smoker,76419.57904100858,1056526.2699643204,12424.748934780408,CA,Nurse,2023-06-07
POL426117DF,50,F,Non-Smoker,67256.18971328314,425540.5078850305,5617.134704082402,OH,Engineer,2024-03-30
POL6F0613F9,39,F,Non-Smoker,114125.04628876456,606672.9338469229,6406.466181423506,IL,Teacher,2021-06-04
POLAFF3687B,55,M,Non-Smoker,112172.89219570148,1356238.153064465,23435.79528495395,GA,Engineer,2022-02-19
POLFB3BCD66,44,F,Non-Smoker,77621.78508338601,1022510.0439085235,12024.718116364234,MI,Manager,2025-06-30
POL2D996DD8,65,M,Non-Smoker,113034.7052641292,1060951.9007467967,21388.790319055424,TX,Accountant,2023-07-20
POLF8D11092,47,F,Non-Smoker,152635.9771082946,1265378.8666065582,15791.928255249844,NY,Nurse,2023-05-13
POL0D2E2631,53,F,Non-Smoker,74846.52487188242,867252.5033826986,12072.154847087164,FL,Salesperson,2024-05-23
POLF991758E,30,F,Non-Smoker,75859.97122828115,530672.7020044624,4457.650696837483,FL,Nurse,2020-12-08
POLC674B217,39,M,Non-Smoker,77749.91917832963,748438.5708568655,9484.213569898198,PA,Engineer,2023-07-29
POLBB11A859,48,M,Non-Smoker,51922.82152575237,772429.6279073071,11790.365840377139,GA,Engineer,2023-03-02
POLEF0F3185,56,M,Non-Smoker,54780.74657938117,290006.2297351918,5094.829443987849,TX,Salesperson,2024-11-30
POL5D9FDAC8,39,F,Non-Smoker,45952.232331507825,501959.3608692109,5300.690850778868,IL,Nurse,2021-06-09
POLC4EF9323,27,F,Non-Smoker,37895.484496044526,428810.22776856844,3293.2625492626057,CA,Manager,2025-06-16
POL2436B18A,32,F,Non-Smoker,123405.0944128693,1077139.6848044475,9565.000401063493,TX,Nurse,2021-01-19
POL22E2B6D2,62,M,Non-Smoker,124629.40843760164,931269.6676906146,17969.7795077581,GA,Teacher,2021-07-31
POL93D88E5A,26,F,Smoker,30239.213684891212,271864.424777753,5056.678300866207,FL,Nurse,2023-08-18
POL139FE746,25,M,Non-Smoker,62089.57729858365,391706.78922812414,3384.3466589309924,OH,Manager,2024-01-11
